Borrowers,Categories,Lenders,Time of Loan Execution,Term of the Loan,External Reviewer,Loan Amount,Currency,Sustainability Performance Targets,Characteristics of the loan,Reporting Policy
"Renewable Japan Co.,Ltd.",Energy,"Momiji Bank,Ltd.","November, 2022",5 years,"Rating & Investment Information, Inc.",1,billion yen,"Net increase in domestic PV plant capacity to 70 MW for each year through December 31, 2031","Each fiscal year, achievement of the SPT is checked, and if achieved, the prescribed interest rate is designed to be reduced from the first interest calculation period that falls after the SPT determination date; if not achieved, the interest rate returns to the level it was before the reduction was made.","The Borrower shall report to the Lender by March of the following year on its performance in achieving the SPT for the previous year. However, if the borrower posts the information on its website and informs the lender that it has posted the information, the report shall be deemed to have been fulfilled. "
"SAITOH EIJI SHOTEN
(斎藤英次商店)",Wholesale and retail trade,"The Chiba Bank, Ltd.","November, 2022",ー,Chibagin Research Institute Corporation,0.1,billion yen,"CO2 emission reduction rate in business activities (Scope 1 and 2)
<Targets> (compared to 2020)  
▲23.18% in 2022, ▲24.18% in 2023, ▲25.69% in 2024, ▲27.92% in 2025","In principle, the SPTs' achievement status is checked on an annual basis, and a mechanism is set up to lower or raise interest rates depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"The Kiyo Lease & Capital Co.,Ltd.",Finance (including REITs),"The Kiyo Bank, Ltd. ","November, 2022",5 years,"Rating & Investment Information, Inc.
Wakayama Institute for Social & Economic Development",1,billion yen,"Annual contract amount (lease and installment) and cumulative amount of equipment contributing to energy conservation and decarbonization
(Cumulative total of 2,415 million yen from FY2022 to FY2027)",The interest rate applied during the loan period is determined by the achievement of SPTs.,"The Kiyo Lease & Capital shall report in writing to the lender, Kiyo Bank, by the ""Reporting Deadline"" on the status of achievement of the SPTs, and shall submit materials necessary to verify the status of achievement of the SPTs."
LIFE CORPORATION,Wholesale and retail trade,"Syndication method
 (Arranger: Sumitomo Mitsui Trust Bank, Limited)","November, 2022",ー,"Japan Credit Rating Agency, Ltd.",ー,,"SPT-1 Reduce greenhouse gas (Scope 1 and 2) emissions by 90% in FY2025, 75% in FY2028, and 50% in FY2030 compared to FY2013
SPT-2 Reduce food waste per unit of sales by 55% in FY2025, 51% in FY2028, and 49% in FY2030 compared to FY2017","Arrangements that change financial characteristics, such as lowering interest rates if SPTs are achieved or raising interest rates if SPTs are not achieved","LIFE Corporation will disclose KPI performance on its website as of the last day of each fiscal year (the last day of February), the percentage reduction in KPIs from the base year of FY2013 or FY2017, and will also disclose information on the establishment and update of its sustainability strategy, the formulation and implementation of its action plan, and third-party verification reports on greenhouse gas emissions and food waste on an annual basis."
"Heiwado
(平和堂)",Wholesale and retail trade,THE SHIGA BANK，LTD．,"November, 2022",ー,"Shigagin Keizai Bunka Center CO.,LTD. ",ー,,"Aim to reduce plastic tray consumption per unit production by 25% by FY2030 compared to FY2020
（FY2020 result:17.9 kg/million yen)
【Target for each fiscal year】
FY2022 -10%
FY2023 -15%
FY2024 -17%
FY2025 -19%
FY2030 -25％","It is designed to look at the achievement status of the SPT for each year, with different spreads applied for achievement and non-achievement.","Heiwado will report the actual KPI values for the previous year to the lender by the end of June every year after February 2023, either publicly on its own website or in writing, after verification by a third party such as KEIBUN."
"Futagawa Holdings
(二川ホールディングス)",Finance (including REITs),"The Hyakujushi Bank, Ltd.","November, 2022",ー,114 Economic Research Institute,ー,,"Renewable energy generation by the entire group
<Target> (for the period ending June 30): 
55,388,199 kwh in 2023; 56,588,199 kwh in 2024; 57,788,199 kwh in 2025; 58,988,199 kwh in 2026; 60,188,199 kwh in 2027","In principle, the progress of the SPTs will be checked on an annual basis, and the interest rate will be reduced according to the progress of the SPTs.","Annually, until the fulfillment of obligations is completed, the status of achievement of SPTs will be checked in the prescribed form."
Kids Corporation Holdings Inc.,Others (including service industry),"MUFG Bank, Ltd.","November, 2022",ー,"Japan Credit Rating Agency, Ltd.",ー,,"① Increase the number of contracted daycare centers at Kids Corporation by a certain net number
② Reduce the turnover rate of childcare workers within one year of employment to below a certain level",Arrangements are made to vary financial characteristics based on the achievement of SPTs.,ー
"NIHON BRONZE CO.,LTD.",Manufacturing,"The Chiba Bank, Ltd.","November, 2022",ー,Chibagin Research Institute Corporation,0.3,billion yen,"SPT1-Number of environmentally friendly sales and delivery vehicles owned (cumulative)
<Target> 2 in 2023, 3 in 2024, 4 in 2025, 5 in 2026
SPT2 - Percentage of paid leave taken by all employees
＜Target>70% in 2023, 80% in 2024, 90% in 2025, 100% in 2026","In principle, the SPTs' achievement status is checked on an annual basis, and a mechanism is set up to lower or raise interest rates depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"Nomura Real Estate Holdings, Inc.",Real estate and construction,"THE HOKKAIDOBANK,LTD.","November, 2022",ー,"Rating & Investment Information, Inc.",ー,,"Reduce total greenhouse gas (CO2) emissions for Scope 1, 2, and Scope 3 by 35% by 2030 (compared to FY 2019)",Preferential interest rate spread based on achievement of SPTs,"Emissions for Scope 1, 2, and 3 will be reported on the Nomura Real Estate Holdings sustainability website and in the Sustainability Report, along with information on the sustainability policy and governance."
"Nomura Real Estate Holdings, Inc.",Real estate and construction,"The Hokuriku Bank, Ltd.","November, 2022",ー,"Rating & Investment Information, Inc.",ー,,"Reduce total greenhouse gas (CO2) emissions for Scope 1, 2, and Scope 3 by 35% by 2030 (compared to FY 2019)",Preferential interest rate spread based on achievement of SPTs,"Emissions for Scope 1, 2, and 3 will be reported on the Nomura Real Estate Holdings sustainability website and in the Sustainability Report, along with information on the sustainability policy and governance."
"Technos
(有限会社テクノス)",Manufacturing,"The Chugoku Bank, Ltd","November, 2022",5 years,Okayama economic research institute,0.06,billion yen,"Reduction rate of electricity consumption per net sales 
＜Targets＞ (year-on-year) 
▲2.7% in FY2022, ▲2.7% in FY2023, ▲2.7% in FY2024, ▲2.7% in FY2024, ▲2.7% in FY2025, ▲2.7% in FY2025, ▲2.7% in FY2025, ▲2.7% in FY2026, ▲2.7% in FY2026, ▲2.7% in FY2026, ▲2.7% in FY2026","Applicable interest rates are reduced by up to 0.2% per year, depending on the achievement of SPT.","・Report to The Chugoku Bank once a year on the status of fund allocation (projects allocated, amount of funds), unallocated balance, and environmental improvement effects.
・At the time of reporting, the Okayama Economic Research Institute will confirm the validity of the report."
"	Fuji Corporation Limited",Real estate and construction,"The Kiyo Bank, Ltd. ","October, 2022",5 years,"Rating & Investment Information, Inc.",1,billion yen,"Number of serviced senior housing units in operation
<Target> 227 in FY3/2023, 238 in FY3/2024, 249 in FY3/2025, 261 in FY3/2026, 274 in FY3/2027","At the end of each fiscal year in March of each year, the SPT will be reviewed for achievement, and if achieved, the interest rate will be lowered.","Fuji Corporation Limited will report the progress of KPIs to lenders annually; the number of serviced senior housing units, a KPI, will be reported in writing to lenders and posted on the website annually."
Hokkaido Kenseisya,Others (including service industry),"North Pacific Bank,Ltd.","October, 2022",7 years,"Rating & Investment Information, Inc.",0.1,billion yen,To grow sales of surgical linen service business to 235 million yen in the fiscal year ending May 2030,The spread will be lowered if the SPT is achieved each fiscal year.,"Hokkaido Kenseisha will report in writing to the lender, North Pacific Bank, on the actual KPI values."
"MITSUBISHI ESTATE・SIMON Co.,Ltd.",Real estate and construction,"Mizuho Bank, Ltd.","October, 2022",10 years,"Rating & Investment Information, Inc.",4,billion yen,"Conversion of 100% renewable energy used for electricity at Mitsubishi Estate and Simon (contribution to ""RE100"")",Preferential interest rates will be applied when SPT targets are achieved for each fiscal year.,"MITSUBISHI ESTATE・SIMON shall disclose the progress of SPT to Mizuho Bank once a year in writing with respect to the ratio of renewable energy for each fiscal year, after third-party verification."
"Prime Polymer Co., Ltd.",Chemical Industry,Development Bank of Japan Inc.  ,"October, 2022",-,ー,1,billion yen,"KPI: CO2 emissions from PP production at PRM's Ichihara, Osaka, and Anesaki plants 
SPT: Reduce the above KPI by 23.8% in FY2030 compared to FY 2013.",Achievement of SPTs is linked to lending conditions and other factors.,"Information on the progress and achievement of the SPTs will be reported by Prime Polymer to the Development Bank of Japan once a year, and when the SPTs are achieved, the information will be verified by a third party. Information related to the third-party verification will be disclosed to the public on a regular basis on the website or in the Integrated Report."
